ticket_id,short_description,create_time,updated_time,creator_id,description
INC2048347,"OfficeMS Teams-Other-无法登录自己 账号","2025-04-10 15:03:31.000000","2025-04-10 15:04:19.000000",kcnh348,"PRID：KJBK354
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 
Problem Description:使用同事pad登录Teams总是被挤出显示同事信息
#ID：01ES0K58J4BTBAEUJJAKF75AES000SGT"
SCTASK0925524,NCEP-CRM-DCR-如何查看申请,"2025-04-10 15:02:51.000000","2025-04-10 15:03:27.000000",kqmk961,"PRID: KFXQ241

User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话:+86 
Problem Description:
1. 用户咨询如何在ncep查看发起的申请
2. 
3."
INC2048336,"Ncep Speaker-Update-审批退回问题","2025-04-10 15:02:27.000000","2025-04-10 15:03:33.000000",kjwc657,"PRID:KDSL798
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:13605103251
Problem Description:讲者申请被退回无法重新申请

 
#ID:01ES0K58J4BTBAEUJJAKF75AES000S62
 "
INC2048332,"【Google Chrome】ウェブページの印刷（PDFに保存）できない","2025-04-10 15:01:28.000000","2025-04-10 15:03:41.000000",kmrd126,"#id: 01ES0K58J4BTBAEUJJAKF75AES000SCO

【詳細】
PCリプレイスしてから、ChromeでウェブページをPDFに保存できなくなりました。
右クリックして「印刷」で「Microsoft Print to PDF」で保存しようとしたらブラウザー全体が落ちてしまいます。

【対応】
「印刷」画面で「PDFに保存」から保存できました"
INC2048319,Workmate-IT用户申请-申请电脑,"2025-04-10 15:00:12.000000","2025-04-10 15:01:24.000000",kxvx387,"PRID：KQBP491
 User Current Location/用户当前位置:
 User Contact Phone NO./用户联系电话: +86       
Problem Description:申请电脑
 Troubleshooting Steps:
 1.告诉用户在workmate上申请
 2.内网：https://az.app.box.com/s/vpwna8awbjfzc1u9vh0pkhqq9606nrt1
外网：https://az.app.boxcn.net/s/vpwna8awbjfzc1u9vh0pkhqq9606nrt1
 3.用户同意关单
  #ID：01ES0K58J4BTBAEUJJAKF75AES000SGK
"
SCTASK0925508,"Active Directory Password Reset (Service Desk to reset)","2025-04-10 15:00:00.000000","2025-04-10 15:00:32.000000",kcnh348,"Active Directory Password Reset (Service Desk to reset)"
INC2048315,"SAP-Error-When Remove Assignment for Alexion SAP","2025-04-10 14:59:51.000000","2025-04-10 15:02:00.000000",ktgq755,"Mail Received Time:2025-04-10 14:45
Mail Replied Time:2025-04-10 14:54

PRID: as caller
Primary Contact: as caller

What user described in the email/ phone/ chat, Kindly check Summary and Justification

We are encountering an issue when we trying to remove an assignment for Alexion SAP and an error message appears as below. 
Currently me & Ikrar encounter the same issue. Please assist.
"
SCTASK0925507,"Ncep Event-Compliance Rule-添加协办人","2025-04-10 14:59:51.000000","2025-04-10 14:59:51.000000",kkhd377,"PRID: KWPG005
User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话: 15918759527
Problem Description: 
1.用户12号的特例会 需要添加一个当地的协办人 IT规定是72小时以内无法添加 但是联系合规  合规沟通 让联系7575后台添加协办人
2.活动：RI250403366508    添加的协办人K账号：KFZJ916
3.用户比较着急   12号的会议
#ID：01ES0K58J4BTBAEUJJAKF75AES000SG4"
INC2048312,Hardware-无法连接投影,"2025-04-10 14:59:13.000000","2025-04-10 15:02:20.000000",kqqs793,"PRID：KSXN056
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 17662745314
Problem Description:用户表示投影无法连接公司电脑
Troubleshooting Steps:
1，建议用户更换设备，重启投影仪
2，
3，用户同意关单
#ID：01ES0K58J4BTBAEUJJAKF75AES000SGI"
SCTASK0925502,"EXUEHUI- Data Mismatch-实名手机号复核","2025-04-10 14:58:37.000000","2025-04-10 14:58:37.000000",kdxd911,"PRID：KTPJ654
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86  18601924883
Problem Description:
1  用户反馈医生用的是自己的实名认证手机号，但是扫描二维码无法实名认证，需要核实
2.
3派单至相关团队
 ID： 01ES0K58J4BTBAEUJJAKF75AES000SFS"
SCTASK0925500,"Ncep Event-AI Coach-分数查询","2025-04-10 14:58:11.000000","2025-04-10 15:00:04.000000",kvbb326,"PRID:KBXQ634
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:15177349142
Problem Description:
1.AI会议没有分数。151963  8号会议 EC250407374012 11:38 -12:01 
2.
3.转单相关团队。"
SCTASK0925496,NCEP-CRM-eDA-EDA拜访的距离较远,"2025-04-10 14:57:13.000000","2025-04-10 14:57:13.000000",kjxq557,"PRID:KGXL400
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:
 
Problem Description:
1.客户来电反馈医院有分院信息，导致创建EDA拜访显示距离较远，是否影响考核
2. 
3. 
Troubleshooting Steps:
1.建议客户尝试联系Ncep support咨询反馈下
2.
3. 用户认可，同意关单
#ID:01ES0K58J4BTBAEUJJAKF75AES000SG0"
SCTASK0925495,Workmate-IT用户申请-申请更换电脑不小心提交了,"2025-04-10 14:57:05.000000","2025-04-10 14:57:05.000000",kpgl336,"PRID：KNLS753
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 17635109210
Problem Description:
用户表示提交了IT用户申请，没写备注就提交了，在老板那"
SCTASK0925489,"Ncep Event-AI Coach-自讲分数未出","2025-04-10 14:56:17.000000","2025-04-10 14:56:57.000000",kjmw056,"PRID:kqps859
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+8615803420077
 
Problem Description:
1. 自讲分数未出      
2.   NCEP自讲会议活动号码：EO250402364602    
3.录制截图见附件
#ID："
INC2048288,BOX-Error-invalid_client,"2025-04-10 14:56:11.000000","2025-04-10 14:58:21.000000",ksfq091,"I want access to BOX
But i saw error message invalid_client
Please help"
SCTASK0925488,"Ncep Event-Audience&EM-咨询如何进行提名注册","2025-04-10 14:56:04.000000","2025-04-10 14:56:40.000000",kpzc084,"PRID:KZCM734
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86
Problem Description:
1. 咨询如何进行提名注册
2. 
3.
Troubleshooting Steps:
1.使用网页版NCEP活动管理会议管理提名注册里面可以编辑行程
2.
3.用户认可，同意关单
#ID：01ES0K58J4BTBAEUJJAKF75AES000SE2"
SCTASK0925487,NCEP-CMS-材料找不到,"2025-04-10 14:55:30.000000","2025-04-10 14:55:30.000000",kxvx387,"PRID:KXDC036
 User Current Location/用户当前位置:
 User Contact Phone NO./用户联系电话:+86  13651101535
 Problem Description:
 1.用户反馈cn-153528找不到这个材料，请问什么原因
 2.辛苦同事帮助处理，谢谢！
 3.转单相关团队处理
 #ID:"
SCTASK0925486,"Ncep Speaker-Create New-新建讲者","2025-04-10 14:54:59.000000","2025-04-10 14:56:01.000000",kqqs793,"PRID：KJTF970
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 18621280200
Problem Description:用户询问如何重新提交被退回的新建讲者请求
Troubleshooting Steps:
1，指导用户到审批中心查看提交的记录，重新提交
2，
3，用户同意关单
#ID：01ES0K58J4BTBAEUJJAKF75AES000SFU"
INC2048269,"Microsoft Authenticator-Setup-无法配置验证器","2025-04-10 14:53:27.000000","2025-04-10 15:01:39.000000",kmnk836,"PRID:KGDF727
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:
Problem Description:
1.同事表示无法配置验证器
2.
3.
#ID:01ES0K58J4BTBAEUJJAKF75AES000SFL
"
SCTASK0925477,"Ncep Event-Business Rule- Ncep新建会议没有会议类型","2025-04-10 14:53:09.000000","2025-04-10 14:53:09.000000",kjxq557,"PRID:KVBL830
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:13601659264
 
Problem Description:
1.客户来电反馈进入Ncep点击新建会议，系统不会出现会议类型选择就直接返回到Ncep的主页，客户咨询原因，客户需要进行会议申请，请协助跟进
2.
3.转单到相关团队
#ID:01ES0K58J4BTBAEUJJAKF75AES000SFO"
INC2048265,"Ncep Event-Create EI-无法提交机加酒","2025-04-10 14:53:08.000000","2025-04-10 14:54:06.000000",kvsv536,"PRID:KZCM734
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86

Problem Description:
1. 无法提交机加酒
2.
3.


1.指导用户如何提交行程
2.
3.用户确认同意关单
#ID：01ES0K58J4BTBAEUJJAKF75AES000SFP"
INC2048263,"IPAD-Version Update-浏览器打不开","2025-04-10 14:53:04.000000","2025-04-10 14:55:23.000000",kqmk961,"PRID: KVKG293

User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话:+86 
Problem Description:
1. 用户表示ipad上的浏览器打不开
2. 
3.
#ID：01ES0K58J4BTBAEUJJAKF75AES000SG3"
INC2048257,【Outlook】Outlook起動時にサービス追加画面表示されアドレス入力を求めてきました,"2025-04-10 14:52:37.000000","2025-04-10 14:58:18.000000",khzt000,"【詳細】
【Outlook】Outlook起動時にサービス追加画面表示されアドレス入力を求めてきました
PIN番号入力した後、Outlook起動時にサービス追加画面表示されアドレス入力を求めてきました
【対応】
#ID:01ES0K58J4BTBAEUJJAKF75AES000SDQ
PRID@Astrazeneca.net
Windowパスワード入力ご案内　NG
設定＞アカウント＞サインインオプション＞指紋認証追加
PC再起動NG
リモートで対応ご案内。
リモート繋がらないため、ネットワーク切り替えご案内。
その前に再度PRID（小文字）@Astrazeneca.netでログインし、メール更新できた。
一時的ネットワーク不良の可能性と判断。解決。"
INC2048252,"Ncep Event-Audience&EM-会议关闭的时候不能修改实际消费金额","2025-04-10 14:52:09.000000","2025-04-10 14:52:54.000000",kjmw056,"PRID:kngb602
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+8613815665456
 
Problem Description:
1.   会议关闭的时候不能修改实际消费金额    
2.     客户多次刷新依旧无法编辑  
3.
#ID："
INC2048247,NCEP-CRM-实名认证-无法实名认证,"2025-04-10 14:51:29.000000","2025-04-10 14:55:07.000000",kpgl336,"PRID:KNWL385
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 17395868025

Problem Description:
用户表示医生已经过户了手机号，还是不能实名认证，今天过户的电信卡
#ID：01ES0K58J4BTBAEUJJAKF75AES000SFM
"
SCTASK0925461,"Ncep Speaker-Special Process-讲者如何解冻","2025-04-10 14:51:02.000000","2025-04-10 14:51:31.000000",kmhj310,"PRID：KGCB910
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 
Problem Description:
1讲者被冻结了，是否可以解冻
2
Troubleshooting Steps:
1已告知在讲者库找到这个讲者，右侧点击解冻后提交审批。
2
3.用户确认同意关单
#ID：01ES0K58J4BTBAEUJJAKF75AES000SFG"
SCTASK0925457,e学荟服务号-解绑-客户解绑,"2025-04-10 14:50:17.000000","2025-04-10 14:50:51.000000",kjmw056,"PRID:kbxv021
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+8618288930034
 
Problem Description:
1. 客户:周海江，客户编码:YN00573N0031T      
2.     LM审批邮件见附件
3.
#ID："
SCTASK0925455,"NCEP-CRM-Add Customer-如何变成关联客户","2025-04-10 14:49:55.000000","2025-04-10 14:50:44.000000",kpgl336,"PRID：KBTN167
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 18204055262
Problem Description:
用户咨询如何变成关联客户"
SCTASK0925454,"Active Directory Password Reset (Service Desk to reset)","2025-04-10 14:49:44.000000","2025-04-10 14:50:24.000000",kqqs793,"Active Directory Password Reset (Service Desk to reset)"
SCTASK0925451,"Mobile Portal-AI Coaching-录音调查请求","2025-04-10 14:48:41.000000","2025-04-10 14:50:36.000000",kvbb326,"PRID: KGGX294

User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话: 18921168556

Problem Description:
1 用户反馈  掌上az访问Aicoaching，系统提示无法录音。iPad访问

2.         
3. 转单到相关团队"
SCTASK0925448,"Ncep Event-History Check-会议状态","2025-04-10 14:48:24.000000","2025-04-10 14:49:42.000000",kxvx387,"PRID：KQSM999
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 13519695007
Problem Description:
1，用户表示因为前一段腾讯会议批量故障导致，目前会议状态还没有变过来，还显示待执行，而且所有的参会者参会时长还是显示0，用户需要后台协助调整
2，EO250401362334   SCTASK0908636这是之前的单号，邮件组建议用户联系IT，请再次提供支持
3，派单至相关团队"
INC2048215,"ZPA-Failed to connection-用户报zpa无法使用","2025-04-10 14:47:53.000000","2025-04-10 14:51:33.000000",kvsv536,"PRID:KNFQ298
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86

Problem Description:
1. 用户报zpa无法使用
2.
3.


1.指导用户如何操作升级系统版本
2.
3.用户确认同意关单
#ID：01ES0K58J4BTBAEUJJAKF75AES000SFK"
INC2048207,"NCEP Event-Tencent-腾讯会议听不到声音","2025-04-10 14:46:50.000000","2025-04-10 14:46:50.000000",kjxq557,NULL
INC2048191,"Ncep Event-Business Rule 线下会开始问题","2025-04-10 14:45:05.000000","2025-04-10 14:55:32.000000",kjwc657,"PRID:KKGH360
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:15702956590
Problem Description:含播点线下会没有在NCEP点击开始，活动开始数据疑似异常

 
#ID:01ES0K58J4BTBAEUJJAKF75AES000S3D
 "
SCTASK0925431,"Ncep Event-Payment-咨询劳务失败的原因","2025-04-10 14:45:04.000000","2025-04-10 14:46:40.000000",kjmw056,"PRID:kdfk649
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86
 
Problem Description:
1. 会议后劳务支付失败是什么原因      
2.       
3.
#ID："
SCTASK0925429,NCEP-CRM-Call-本月取消关联后还用拜访吗,"2025-04-10 14:44:55.000000","2025-04-10 14:47:20.000000",kpgl336,"PRID：KBTN167
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 18204055262
Problem Description:
用户咨询本月取消关联后还用拜访吗"
SCTASK0925430,"Ncep Speaker-Renew-审批加快问题咨询-3rd","2025-04-10 14:44:55.000000","2025-04-10 14:45:19.000000",kvbb326,"PRID:KVFX903

User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:18660789512

Problem Description:
1.需要讲者续签加急邮箱。
2.
3.

"
SCTASK0925424,e学荟服务号-解绑-非目标客户解绑,"2025-04-10 14:43:49.000000","2025-04-10 14:44:33.000000",kqmk961,"PRID: Kpcm335

User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话:+86 19135207382
Problem Description:
1. 用户想要解绑非目标客户
K账号：KPCM335
1.医生名字：韩晓梅   
1.机构：大同市同仁医药连锁有限公司三医院店
1.客户编码：SX93210R0002T
1.是否为目标医生：否

2.医生名字：郝海林
2.机构：大同市同仁医药连锁有限公司三医院店
2.客户编码：SX93210R0003T
2.是否为目标医生：否

3.医生名字：刘建霞  
3.机构：大同市同仁医药连锁有限公司三医院店
3.客户编码：SX93210R0004T
3.是否为目标医生：否

4.医生名字：董孝萍  
4.机构：山西思迈乐药业连锁有限公司大同大庆路店
4.客户编码：SX108413R0006T
4.是否为目标医生：否

5.医生名字：董孝萍 
5.机构：山西思迈乐药业连锁有限公司
5.客户编码：SX09214002R
5.是否为目标医生：否


5.医生名字：闫淑霞 
5.机构：忻州市吉达惠康药业连锁有限公司原平军兴店
5.客户编码：SX102022R0001T
5.是否为目标医生：否

用户表示都是需要解绑

审批邮件附件
2. 辛苦同事查看一下
3.转单"
SCTASK0925423,NCEP-CRM-eDA-内容中心材料问题,"2025-04-10 14:43:48.000000","2025-04-10 14:44:21.000000",klgx523,"PRID: KTJZ576
User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话: 
Problem Description: 内容中心找不到相关的所需材料
Troubleshooting Steps: 
1. 告知联系市场部通过cmc系统上传相关材料并使用
2. 
3.用户认可，同意关单 
#ID: 01ES0K58J4BTBAEUJJAKF75AES000SED"
SCTASK0925415,"NCEP-CRM-Call Plan-周期计划咨询","2025-04-10 14:42:14.000000","2025-04-10 14:42:49.000000",kjwc657,"PRID:KDKJ679
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:13898376258
Problem Description:4月新入职用户没有可拜访的关联客户，周期计划无本月数据
Troubleshooting Steps:
1.需派单协助确认无数据原因
 
#ID:01ES0K58J4BTBAEUJJAKF75AES000SF6"
SCTASK0925412,"Ncep Event-Audience&EM-录制完的视频回看相关咨询","2025-04-10 14:42:00.000000","2025-04-10 14:43:27.000000",kjmw056,"PRID:kgzh364
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86
 
Problem Description:
1. 在代表的视角里是有画面的，但是录制完看不见了      
2.       
3.
#ID："
INC2048166,"OfficeMS Teams-Other-用户报远程会议黑屏","2025-04-10 14:41:51.000000","2025-04-10 14:42:26.000000",kvsv536,"PRID:KLNC550
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86

Problem Description:
1. 用户报远程会议黑屏
2.
3.


1.远程检查测试没有问题建议清理缓存
2.
3.用户确认同意关单
#ID：01ES0K58J4BTBAEUJJAKF75AES000SF1"
SCTASK0925408,"Saba-request-CornerStone assignment: TW Newcomer Training Course","2025-04-10 14:41:25.000000","2025-04-10 14:41:25.000000",ktgq755,"Please assign all these certificates to the newcomers. Thanks!
 More details refer to attachments."
SCTASK0925400,"Ncep Event-ContentHub-咨询材料如何关联","2025-04-10 14:39:54.000000","2025-04-10 14:40:20.000000",kjmw056,"PRID:kmsx701
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86
 
Problem Description:
1.  怎么关联AI自讲需要关联幻灯
2.       
3.
#ID："
SCTASK0925399,"Ncep Event-ContentHub-活动当天更换演讲幻灯片","2025-04-10 14:39:49.000000","2025-04-10 14:40:28.000000",kjxq557,"PRID:KFTT221
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:
 
Problem Description:
1.活动当天更换演讲幻灯片
2. 
3. 
Troubleshooting Steps:
1.告知客户邮件报备飞检，网页端会议选择材料播放按钮播放
2.
3. 用户认可，同意关单
#ID:01ES0K58J4BTBAEUJJAKF75AES000SEH"
INC2048151,"Ncep Event-4D-参会时长无效","2025-04-10 14:39:36.000000","2025-04-10 14:41:32.000000",kdxd911,"PRID：KQNZ430
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86  18612316450
Problem Description: 
1   会议号：CI241208106058    刘伟   胜利油田中心医院  呼吸科    ci241209110768     ci24112170291       s06021948 
2.  用户反馈腾讯会议正常参会，但是ncep里面合规看板参会时间既有几秒钟，导致讲课费均无法打款，需要后台核实参会时长
3派单至相关团队
 ID：01ES0K58J4BTBAEUJJAKF75AES000SF5"
SCTASK0925398,"Ncep Event-ContentHub-更换材料","2025-04-10 14:39:33.000000","2025-04-10 14:40:06.000000",kqmk961,"PRID: KCCV309

User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话:+86 
Problem Description:
1. 用户咨询如何更换材料
2. 
3."
SCTASK0925393,"Ncep Speaker-Special Process-咨询讲者解冻时间","2025-04-10 14:37:47.000000","2025-04-10 14:38:16.000000",kjmw056,"PRID:knvl476
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86
 
Problem Description:
1. 中央级讲者被冻结了，代表可以为申请解冻吗？提交了解冻信息，多久能批呢      
2.       
3.
#ID："
INC2048144,"Adobe sign-access-chloe.song@astrazeneca.com failed to login after RITM1033253 was completed","2025-04-10 14:37:46.000000","2025-04-10 15:04:23.000000",kmxp123,"Mail Received Time:2025-04-10 14:29
Mail Replied Time:2025-04-10 14:29

PRID: as caller
Primary Contact: as caller

What user described in the email/ phone/ chat:
1.chloe.song@astrazeneca.com failed to login after RITM1033253 was completed
2. please help check the reason, thank you."
INC2048138,"NewGen-无法提交payment request","2025-04-10 14:37:26.000000","2025-04-10 14:43:19.000000",kmnk836,"PRID:KTDD750
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:19945616307
Problem Description:
1.同事表示无法提交payment request，一直显示process中
2.更换浏览器无效  新建无痕无效
3.派单至相关团队
#ID：01ES0K58J4BTBAEUJJAKF75AES000SEM
"
SCTASK0925391,eApproval-有价物品-不识别已添加的HCP编号,"2025-04-10 14:37:23.000000","2025-04-10 14:50:21.000000",kvbb326,"PRID: KFXF926
User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话: 18101885076
Problem Description:
1 用户反馈 电子审批系统eapproval 有价物品申请，输入HCP编号，系统提示：没有填写HCP code。
2.         希望尽快联系 连线。
3. 转单到相关团队"
SCTASK0925390,"MEM-request-remove PC218CVT from MEM","2025-04-10 14:37:11.000000","2025-04-10 14:48:40.000000",ktgq755,"hi team would like to remove PC218CVT from MEM
 
pls raise the ticket for this"
INC2048124,NCEP-CRM-Call-拜访文章不能关联,"2025-04-10 14:35:34.000000","2025-04-10 14:36:33.000000",kxvx387,"PRID：KBXF144
 User Current Location/用户当前位置:
 User Contact Phone NO./用户联系电话: +86       
Problem Description:拜访文章不能关联
 Troubleshooting Steps:
 1.告诉用户新建拜访看看能不能关联文章
 2.
 3.用户同意关单
  #ID：01ES0K58J4BTBAEUJJAKF75AES000SE1
"
SCTASK0925384,"Ncep Speaker-Update-咨询讲者简历下载","2025-04-10 14:35:22.000000","2025-04-10 14:35:51.000000",kjmw056,"PRID:kcdp584
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86
 
Problem Description:
1. 在哪里下载新版讲者简历      
2.       
3.
#ID："
SCTASK0925383,"Ncep Event-Budget Plan-修改预算","2025-04-10 14:35:16.000000","2025-04-10 14:35:16.000000",kqqs793,"PRID：KGPH540
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 18144657616
Problem Description:
1，用户表示关闭会议时，讲课费已经更改为0，直线经理那边审批时看到讲课费仍是显示有的，在自己的NCEP中查看讲课费也显示是有的，用户表示这个讲者实际没有到场，希望将讲课费修改为0
2，CO250331358279，晋枫
3，派单至相关团队
#ID：01ES0K58J4BTBAEUJJAKF75AES000SEK"
SCTASK0925381,"Ncep Event-Business Rule 议程变更咨询","2025-04-10 14:34:58.000000","2025-04-10 14:36:32.000000",kjwc657,"PRID:KCHG331
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:13018153068
Problem Description:11点会议，合办会，讲者急诊需调换顺序
Troubleshooting Steps:
1.报备飞检说明议程变更情况即可
2.用户同意关单
 
#ID:01ES0K58J4BTBAEUJJAKF75AES000S11"
SCTASK0925377,"Ncep Speaker-Renew-讲者续签","2025-04-10 14:33:30.000000","2025-04-10 14:34:18.000000",kkhd377,"PRID: KPJH542
User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话: 
Problem Description: 
1.讲者续签20号能完成么？
2.
3.
#ID：01ES0K58J4BTBAEUJJAKF75AES000SEQ"
SCTASK0925376,"Ncep Event-Audience&EM-咨询会议类型的选择","2025-04-10 14:33:24.000000","2025-04-10 14:33:56.000000",kjmw056,"PRID:kpwd314
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86
 
Problem Description:
1. 院内DMT会议申请的时候选择哪个会议类型呢？      
2.       
3.
#ID："
INC2048113,Hardware-无法投屏,"2025-04-10 14:33:18.000000","2025-04-10 14:34:20.000000",kpgl336,"PRID:KWHP205
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 18049775705

Problem Description:
1. 静安 810 无法投影 ，需要IT去一趟    
2.     
3.转单相关团队处理
#ID：01ES0K58J4BTBAEUJJAKF75AES000SEU
"
SCTASK0925374,"Workmate-赞助-How To-如何修改预算","2025-04-10 14:33:13.000000","2025-04-10 14:33:13.000000",kkhh543,"PRID:KRSF186
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 18310544997
 
Problem Description:
1.用户想要调整预算 但是用户不知道在哪里修改 麻烦协助用户解决 谢谢
2.项目编号：SP-2025-00753    用户比较着急 需要今天得到回复 麻烦帮忙尽快处理
3.转单相关团队处理"
